start_node_name,start_node_id,end_node_name,end_node_id,relationship_type,label
华联股份,2760,蓝帆医疗,1456,cooperate,1
中金公司,3854,工商银行,1134,cooperate,1
中金公司,3854,中国太保,2449,cooperate,1
中金公司,3854,东方财富,2176,cooperate,1
中金公司,3854,中国电信,217,cooperate,1
中金公司,3854,浙商银行,3381,cooperate,1
中金公司,3854,中信建投,2020,cooperate,1
中金公司,3854,中信证券,3564,cooperate,1
中金公司,3854,华东医药,3512,cooperate,1
中金公司,3854,建设银行,3014,cooperate,1
中金公司,3854,智飞生物,615,cooperate,1
中金公司,3854,宁德时代,743,cooperate,1
中金公司,3854,招商证券,630,cooperate,1
中材科技,2354,长园集团,2427,cooperate,1
中材科技,2354,意华股份,1185,cooperate,1
中材科技,2354,双一科技,1978,cooperate,1
云内动力,2861,蓝海华腾,483,cooperate,1
东方园林,1084,民生银行,560,cooperate,1
东方园林,1084,京东方,1784,cooperate,1
暴风集团,2558,美锦能源,27,cooperate,1
暴风集团,2558,申万宏源,3330,cooperate,1
海康威视,2502,四维图新,1752,cooperate,1
海康威视,2502,中国石化,2840,cooperate,1
海康威视,2502,万华化学,1548,cooperate,1
海康威视,2502,杭州高新,1392,cooperate,1
四维图新,1752,海康威视,2502,cooperate,1
四维图新,1752,双杰电气,1388,cooperate,1
四维图新,1752,东方财富,2176,cooperate,1
四维图新,1752,万科A,3645,cooperate,1
四维图新,1752,德赛西威,3468,cooperate,1
四维图新,1752,航天机电,329,cooperate,1
四维图新,1752,高新兴,1257,cooperate,1
人民网,1283,江苏国泰,3749,cooperate,1
人民网,1283,江淮汽车,1607,cooperate,1
人民网,1283,完美世界,1457,cooperate,1
华夏幸福,2798,招商银行,3568,cooperate,1
中国人保,537,中国人寿,3498,cooperate,1
金科股份,1087,中国电信,217,cooperate,1
金科股份,1087,新城控股,2777,cooperate,1
TCL集团,930,亿纬锂能,3219,cooperate,1
TCL集团,930,上海银行,2391,cooperate,1
TCL集团,930,智云股份,3089,cooperate,1
齐翔腾达,2512,中国化学,2871,cooperate,1
齐翔腾达,2512,蓝帆医疗,1456,cooperate,1
智光电气,3178,南网能源,1051,cooperate,1
智光电气,3178,鹏辉能源,1638,cooperate,1
智光电气,3178,东旭蓝天,3373,cooperate,1
特变电工,3851,上机数控,2545,cooperate,1
特变电工,3851,华翔股份,1516,cooperate,1
特变电工,3851,智慧能源,3626,cooperate,1
特变电工,3851,新疆众和,3671,cooperate,1
特变电工,3851,隆基股份,2032,cooperate,1
